AtomicMass,PartialPressure
1,4.88e-08
1.1,9.78e-08
1.2,2.18e-06
1.3,2.02e-06
1.4,4.87e-07
1.5,1.6e-06
1.6,3.1e-06
1.7,3.62e-06
1.8,3.58e-06
1.9,3.84e-06
2,3.43e-06
2.1,3.3e-06
2.2,2.56e-06
2.3,1.44e-06
2.4,2.78e-07
2.5,9.69e-08
2.6,4.78e-08
2.7,2.68e-08
2.8,1.65e-08
2.9,1.1e-08
3,8.15e-09
3.1,5.9e-09
3.2,3.89e-09
3.3,3.57e-09
3.4,3.13e-09
3.5,1.4e-09
3.6,7.3e-10
3.7,3.65e-11
3.8,3.65e-11
3.9,-8.1e-10
4,-9.34e-10
4.1,-1.4e-09
4.2,-1.79e-09
4.3,-1.28e-09
4.4,-8.03e-10
4.5,-7.01e-10
4.6,-4.96e-10
4.7,-3.58e-10
4.8,-1.04e-09
4.9,-1.51e-09
5,-7.3e-10
5.1,-2.85e-10
5.2,-4.82e-10
5.3,-9.64e-10
5.4,1.46e-11
5.5,-3.65e-10
5.6,-7.01e-10
5.7,-1.14e-09
5.8,-1.49e-09
5.9,-8.69e-10
6,-1.42e-09
6.1,-1.53e-09
6.2,-2.07e-09
6.3,-1.93e-09
6.4,-1.05e-09
6.5,-8.98e-10
6.6,-2.12e-10
6.7,-6.35e-10
6.8,-1.29e-09
6.9,-8.39e-10
7,-7.66e-10
7.1,-7.66e-10
7.2,-2.1e-09
7.3,-1.35e-09
7.4,-1.09e-09
7.5,-6.64e-10
7.6,-1.11e-09
7.7,-9.27e-10
7.8,-8.54e-10
7.9,-4.6e-10
8,-1.82e-10
8.1,8.54e-10
8.2,1.1e-09
8.3,4.38e-10
8.4,1.61e-10
8.5,-3.5e-10
8.6,-2.19e-10
8.7,-3.87e-10
8.8,-2.34e-10
8.9,-1.31e-10
9,-2.55e-10
9.1,1.53e-10
9.2,-6.2e-10
9.3,-4.82e-10
9.4,6.42e-10
9.5,4.6e-10
9.6,-4.38e-11
9.7,-9.85e-10
9.8,-1.06e-09
9.9,-1.09e-09
10,-1.33e-09
10.1,-5.55e-10
10.2,-1.3e-09
10.3,-4.38e-10
10.4,0
10.5,-3.36e-10
10.6,-7.15e-10
10.7,-1.33e-09
10.8,-1e-09
10.9,-2.34e-10
11,-6.64e-10
11.1,-3.72e-10
11.2,8.47e-10
11.3,5.36e-09
11.4,1.67e-08
11.5,6.87e-08
11.6,2.14e-07
11.7,3.36e-07
11.8,4.54e-07
11.9,5.23e-07
12,5.49e-07
12.1,5.12e-07
12.2,4.34e-07
12.3,2.43e-07
12.4,9.4e-08
12.5,5.37e-08
12.6,5.34e-08
12.7,6.05e-08
12.8,7.15e-08
12.9,8.5e-08
13,9.17e-08
13.1,9.63e-08
13.2,9.19e-08
13.3,7.24e-08
13.4,5e-08
13.5,7.15e-08
13.6,1.83e-07
13.7,2.89e-07
13.8,3.76e-07
13.9,4.36e-07
14,4.48e-07
14.1,4.46e-07
14.2,3.86e-07
14.3,2.59e-07
14.4,1.15e-07
14.5,1.11e-07
14.6,2.61e-07
14.7,4.02e-07
14.8,4.98e-07
14.9,5.84e-07
15,5.92e-07
15.1,5.97e-07
15.2,5.25e-07
15.3,3.87e-07
15.4,2.19e-07
15.5,5.66e-07
15.6,1.48e-06
15.7,1.77e-06
15.8,2.1e-06
15.9,2.16e-06
16,2.25e-06
16.1,2.1e-06
16.2,1.91e-06
16.3,1.06e-06
16.4,9.58e-07
16.5,4.8e-06
16.6,9.74e-06
16.7,1.08e-05
16.8,1.28e-05
16.9,1.28e-05
17,1.33e-05
17.1,1.2e-05
17.2,1.1e-05
17.3,4.7e-06
17.4,4.04e-06
17.5,1.9e-05
17.6,3.92e-05
17.7,4.46e-05
17.8,5.3e-05
17.9,5.29e-05
18,5.34e-05
18.1,4.85e-05
18.2,4.25e-05
18.3,1.56e-05
18.4,5.67e-07
18.5,2.06e-07
18.6,1.99e-07
18.7,2.4e-07
18.8,2.81e-07
18.9,3.2e-07
19,3.25e-07
19.1,3.36e-07
19.2,3.11e-07
19.3,2.67e-07
19.4,1.99e-07
19.5,5.72e-07
19.6,1.69e-06
19.7,2.05e-06
19.8,2.41e-06
19.9,2.43e-06
20,2.38e-06
20.1,2.27e-06
20.2,2.07e-06
20.3,1.35e-06
20.4,2.46e-07
20.5,8.93e-08
20.6,4.66e-08
20.7,2.97e-08
20.8,2.26e-08
20.9,1.84e-08
21,1.65e-08
21.1,1.63e-08
21.2,1.66e-08
21.3,1.7e-08
21.4,1.65e-08
21.5,2.19e-08
21.6,4.13e-08
21.7,6.12e-08
21.8,7.85e-08
21.9,8.71e-08
22,8.84e-08
22.1,9.03e-08
22.2,8.46e-08
22.3,7.27e-08
22.4,4.22e-08
22.5,2.34e-08
22.6,1.42e-08
22.7,9.13e-09
22.8,5.28e-09
22.9,3.79e-09
23,1.39e-09
23.1,4.6e-10
23.2,7.74e-10
23.3,2.55e-10
23.4,2.55e-10
23.5,4.45e-10
23.6,3.33e-09
23.7,8.72e-09
23.8,1.2e-08
23.9,1.62e-08
24,1.87e-08
24.1,1.93e-08
24.2,1.91e-08
24.3,1.81e-08
24.4,1.31e-08
24.5,1.01e-08
24.6,1.72e-08
24.7,2.93e-08
24.8,4.13e-08
24.9,5.25e-08
25,5.87e-08
25.1,6.37e-08
25.2,6.27e-08
25.3,6.23e-08
25.4,4.82e-08
25.5,5.27e-08
25.6,1.22e-07
25.7,2.21e-07
25.8,3.03e-07
25.9,3.63e-07
26,3.61e-07
26.1,3.7e-07
26.2,3.36e-07
26.3,3.12e-07
26.4,1.67e-07
26.5,1.4e-07
26.6,3.38e-07
26.7,5.93e-07
26.8,7.59e-07
26.9,8.87e-07
27,8.44e-07
27.1,8.87e-07
27.2,8.18e-07
27.3,8.59e-07
27.4,5.62e-07
27.5,1.55e-06
27.6,4.24e-06
27.7,5.36e-06
27.8,6.41e-06
27.9,6.87e-06
28,6.31e-06
28.1,6.31e-06
28.2,5.48e-06
28.3,4.12e-06
28.4,5.83e-07
28.5,2.87e-07
28.6,6.43e-07
28.7,1.04e-06
28.8,1.3e-06
28.9,1.48e-06
29,1.4e-06
29.1,1.44e-06
29.2,1.26e-06
29.3,1.16e-06
29.4,4.16e-07
29.5,4.19e-07
29.6,1.27e-06
29.7,1.78e-06
29.8,2.12e-06
29.9,2.35e-06
30,2.18e-06
30.1,2.22e-06
30.2,1.89e-06
30.3,1.68e-06
30.4,4.06e-07
30.5,1.35e-07
30.6,1.18e-07
30.7,1.5e-07
30.8,1.9e-07
30.9,2.35e-07
31,2.47e-07
31.1,2.53e-07
31.2,2.38e-07
31.3,2.31e-07
31.4,1.57e-07
31.5,1.39e-07
31.6,2.98e-07
31.7,4.94e-07
31.8,6.3e-07
31.9,7.31e-07
32,6.92e-07
32.1,6.95e-07
32.2,6.03e-07
32.3,5.44e-07
32.4,2.18e-07
32.5,8.45e-08
32.6,4.46e-08
